SEQ_NO,SGG,FCLTY_TYPE,FCLT_NM,OP_HOUR,ADDRESS,CONTACT_NM,OP_TYPE
1,종로구,공공시설,종로구청,24시간,서울 종로구 종로1길 36 종로구청 ,02-2148-3008,#N/A
2,중구,공공시설,중구청작은도서관,24시간,서울 중구 창경궁로 17 중구청,02-3396-4000,당직실
3,용산구,숙박시설,뉴월드호텔,24시간,서울 용산구 한강대로84길 21-13,02-2199-7950,#N/A
4,용산구,공공시설,용산구청,24시간,서울 용산구 녹사평대로 150,02-2199-6300,당직실
5,성동구,숙박시설,라테라,24시간,서울 성동구 왕십리로22길 16-1,02-2286-6274,#N/A
6,성동구,숙박시설,리젠트호텔,24시간,서울 성동구 무학로2길 43,02-2286-6274,#N/A
7,성동구,숙박시설,파라다이스호텔,24시간,서울 성동구 왕십리로22길 11-11,02-2286-6274,#N/A
8,성동구,숙박시설,스위트모텔,24시간,서울 성동구 왕십리로20길 17-1,02-2286-6274,#N/A
9,성동구,숙박시설,쥬방스모텔,24시간,서울 성동구 왕십리로22길 18,02-2286-6274,#N/A
10,성동구,숙박시설,스타장모텔,24시간,서울 성동구 독서당로 315-9,02-2286-6274,#N/A
11,성동구,숙박시설,새턴모텔,24시간,서울 성동구 자동차시장1길 29,02-2286-6274,#N/A
12,성동구,숙박시설,태양장모텔,24시간,서울 성동구 마조로19길 13,02-2286-6274,#N/A
13,성동구,숙박시설,건대스테이,24시간,서울 성동구 광나루로9길 6,02-2286-6274,#N/A
14,성동구,숙박시설,고요인성수,24시간,서울 성동구 둘레3길 6-13,02-2286-6274,재난부서
15,성동구,숙박시설,로즈파크모텔,24시간,서울 성동구 아차산로7길 42-1,02-2286-6274,#N/A
16,성동구,공공시설,성동구청,24시간,서울 성동구 고산자로 270,02-2286-5300,당직실
17,광진구,숙박시설,넘버25호텔중곡점,24시간,서울 광진구 능동로 363,02-450-1300,복지부서
18,광진구,숙박시설,샐몬모텔,24시간,서울 광진구 동일로367 ,02-450-1300,#N/A
19,광진구,숙박시설,정모텔,24시간,서울 광진구 면목로 204 ,02-450-1300,#N/A
20,광진구,숙박시설,파인힐모텔,24시간,서울 광진구 용마산로 192,02-450-1300,복지부서
21,광진구,숙박시설,골드모텔,24시간,서울 광진구 아차산로 385,02-450-1300,복지부서
22,광진구,숙박시설,M칼리스,24시간,서울 광진구 천호대로 679,02-450-1300,#N/A
23,광진구,숙박시설,대하모텔,24시간,서울 광진구 아차산로 583 ,02-450-1300,#N/A
24,광진구,숙박시설,피넛모텔,24시간,서울 광진구 자양로 63,02-450-1300,#N/A
25,광진구,숙박시설,은성장,24시간,서울 광진구 자양번영로 31,02-450-1300,#N/A
26,광진구,숙박시설,그랜드모텔,24시간,서울 광진구 동일로 148,02-450-1300,#N/A
27,광진구,숙박시설,Q모텔,24시간,서울 광진구 동일로 168,02-450-1300,#N/A
28,광진구,숙박시설,아미가모텔,24시간,서울 광진구 면목로 33,02-450-1300,#N/A
29,광진구,공공시설,광진구청,24시간,서울 광진구 자양로 177,02-450-1300,당직실
30,동대문구,숙박시설,m모텔,24시간,서울 동대문구 하정로 48,02-2127-4000,당직실
31,동대문구,숙박시설,은도장,24시간,서울 동대문구 전농로19길 18-3,02-2127-4000,당직실
32,동대문구,숙박시설,동부모텔,24시간,서울 동대문구 홍릉로 40,02-2127-4000,당직실
33,동대문구,공공시설,동대문구청,24시간,서울 동대문구 천호대로 145,02-2127-4000,#N/A
34,중랑구,노숙인시설,애원희망홈,24시간,"서울 중랑구 봉화산로 153, 신내종합사회복지관",02-2094-2150,#N/A
35,중랑구,공공시설,중랑구청,24시간,서울 중랑구 봉화산로 179,02-2094-0114,당직실
36,성북구,숙박시설,호텔라스위스,24시간,서울 성북구 종암로6길 10,02-2241-3300,#N/A
37,성북구,숙박시설,리치모텔,24시간,서울 성북구 돌곶이로 18길 27-4,02-2241-3300,#N/A
38,성북구,숙박시설,호텔딘,24시간,서울 성북구 종암로24길 14,02-2241-3300,#N/A
39,성북구,공공시설,성북구청,24시간,서울 성북구 보문로 168,02-2241-3300 ~ 2,당직실
40,강북구,공공시설,강북구청,24시간,서울 강북구 도봉로89길 13,02-901-6111~5,#N/A
41,도봉구,숙박시설,럭스모텔,24시간,서울 도봉구 도봉로 739,02-2091-2091,#N/A
42,도봉구,숙박시설,모텔세화,24시간,서울 도봉구 방학로6길 17,02-2091-2091,#N/A
43,도봉구,숙박시설,인터넷모텔,24시간,서울 도봉구 우이천로24길 65,02-2091-2091,#N/A
44,도봉구,공공시설,도봉구청,24시간,서울 도봉구 마들로 656,02-2091-2091,당직실
45,노원구,숙박시설,노블레스관광호텔,24시간,서울 노원구 노해로77길 22,02-2116-3000,#N/A
46,노원구,공공시설,노원구청,24시간,서울 노원구 노해로 437,"02-2116-3000, 3301",당직실
47,은평구,숙박시설,호텔루136,24시간,서울 은평구 진흥로 136,"02-351-6041
02-351-8112",#N/A
48,은평구,공공시설,은평구청,24시간,서울 은평구 은평로 195,02-351-6041 ~ 5,당직실
49,서대문구,노숙인시설,구세군브릿지종합지원센터,24시간,서울 서대문구 서소문로 57-1,02-330-1300,#N/A
50,서대문구,노숙인시설,디딤센터,24시간,서울 서대문구 연희로 6길 7 101호,02-330-1300,#N/A
51,서대문구,공공시설,서대문구청,24시간,서울 서대문구 연희로 248,"02-330-1559, 1300",당직실
52,마포구,숙박시설,에이치에비뉴호텔,24시간,서울 마포구 신촌로 152,02-3153-8100,#N/A
53,마포구,숙박시설,예원장,24시간,서울특별시 마포구 마포대로14길 21(공덕동),02-3153-8100,#N/A
54,마포구,숙박시설,가나모텔,24시간,서울특별시 마포구 삼개로 13(도화동),02-3153-8100,#N/A
55,마포구,숙박시설,라뉘호텔,24시간,서울특별시 마포구 서강로20길 20(노고산동),02-3153-8100,#N/A
56,마포구,숙박시설,호텔서강스테이,24시간,서울특별시 마포구 서강로18길 13(노고산동),02-3153-8100,당직실
57,마포구,숙박시설,나인브릭,24시간,서울특별시 마포구 홍익로5길 32(서교동),02-3153-8100,#N/A
58,마포구,숙박시설,캐슬모텔,24시간,서울특별시 마포구 월드컵로7길 13-7 (합정동),02-3153-8100,#N/A
59,마포구,숙박시설,호텔써클,24시간,서울특별시 마포구 양화로 15(합정동),02-3153-8100,#N/A
60,마포구,공공시설,마포구청,24시간,서울 마포구 월드컵로 212,02-3153-8100,당직실
61,양천구,숙박시설,모카호텔,24시간,서울특별시 양천구 목동로 229(신정동),02-2620-3000,#N/A
62,양천구,공공시설,양천구청,24시간,서울 양천구 목동동로 105,02-2620-3000,당직실
63,강서구,한파쉼터,다솔경로당,24시간,서울 강서구 공항동 1361-1,02-2600-6330,당직실
64,강서구,한파쉼터,초록동경로당,24시간,서울 강서구 화곡동 55-79,02-2600-6330,당직실
65,강서구,공공시설,강서구청,24시간,서울 강서구 화곡로 302,02-2600-6330,당직실
66,구로구,숙박시설,롯데시티호텔구로,24시간,서울 구로구 디지털로 300,02-860-2330,상황실
67,구로구,숙박시설,제이에스호스텔,24시간,서울 구로구 남부순환로105길 32,02-860-2330,#N/A
68,구로구,숙박시설,글로벌모텔,24시간,서울 구로구 개봉로19길 23,02-860-2330,#N/A
69,구로구,숙박시설,코업시티호텔,24시간,서울 구로구 경인로20가길 19,02-860-2330,#N/A
70,구로구,공공시설,구로구청,24시간,서울 구로구 가마산로 245,02-860-2330,당직실
71,금천구,숙박시설,엠디호텔,24시간,서울 금천구 시흥대로 315,02-2627-2300,#N/A
72,금천구,공공시설,금천구청,24시간,서울 금천구 시흥대로73길 70,"02-2627-2300, 2330",당직실
73,영등포구,노숙인시설,희망지원센터응급구호시설,24시간,서울 영등포구 경인로102길 10,02-2670-3919,재난부서
74,영등포구,노숙인시설,햇살보금자리응급구호시설,24시간,서울 영등포구 국회대로54길 41-16 ,02-2670-3919,재난부서
75,영등포구,노숙인시설,보현종합지원센터응급구호시설,24시간,서울 영등포구 버드나루로 24,02-2670-3919,재난부서
76,영등포구,노숙인시설,옹달샘드롭인센터응급구호시설,24시간,서울 영등포구 경인로94길 6,02-2670-3919,재난부서
77,영등포구,공공시설,영등포구청,24시간,서울 영등포구 당산로 123,02-2670-3000,당직실
78,관악구,숙박시설,폭스호텔,24시간,서울 관악구 관악로 208-4,02-879-6000,#N/A
79,관악구,숙박시설,K2호텔,24시간,서울 관악구 신림로64길 29,02-879-6000,#N/A
80,관악구,숙박시설,도미니크호텔,24시간,남부순환로 1501,02-879-6000,#N/A
81,관악구,숙박시설,바이올린,24시간,남부순환로220길 31,02-879-6000,#N/A
82,관악구,공공시설,관악구청,24시간,서울 관악구 관악로 145,"02-879-6000, 7000",당직실
83,서초구,공공시설,서초구청청외회의실,24시간,"서울 서초구 남부순환로 2585, 양재역환승센터 505호",02-2155-6099,당직실
84,강남구,공공시설,강남구청(재난안전상황실),24시간,서울 강남구 학동로 426 본관2층,02-3423-5100,#N/A
85,송파구,공공시설,송파구청,24시간,서울 송파구 올림픽로 326,02-2147-2200,#N/A
86,강동구,공공시설,강동구청,24시간,서울 강동구 성내로 25 서관 지하1층,02-3425-8888,#N/A
87,동작구,공공시설,동작구스마트쉼터,24시간,서울 동작구 사당동 산31-37,02-828-4361,재난부서
88,동작구,공공시설,동작구스마트쉼터,24시간,서울 동작구 상도로 365-2,02-828-4361,재난부서
89,동작구,공공시설,동작구스마트쉼터,24시간,서울 동작구 사당로 218,02-828-4361,재난부서
90,동작구,공공시설,동작구스마트쉼터,24시간,서울 동작구 상도동 329-2,02-828-4361,재난부서
91,동작구,공공시설,동작구스마트쉼터,24시간,서울 동작구 보라매로 95-2,02-828-4361,재난부서
92,동작구,공공시설,동작구스마트쉼터,24시간,서울 동작구 상도동 34-21,02-828-4361,재난부서
93,동작구,공공시설,동작구청,24시간,서울시 동작구 장승배기로 161,02-820-1119,당직실
